whereas,"while, but"
whooping cough,"disease of the lungs that is very easily spread to others"
withhold,"deny, keep from, hold back, refuse"
withstand,"take, bear, resist"
witness,"see, note, observe"
waning immunity,loss of resistance against a disease
warning sign,signals to alert you something may be wrong
waterfowl,"water birds; birds that live on water; ducks, geese, and swans"
wheeze,to breathe with difficulty making a whistling sound
variant,"version, slightly different"
Varicella,chicken pox
variola,smallpox
vary,"change, shift"
vehicle,"car, truck, bus"
verbatim,"exact, word for word"
verify,"check, find out"
vesicular,"blisters, small bumps on your skin"
viable,"able to live, usable, can be used"
vicinity,"area, location"
viral shedding,coughing and sneezing
viremia,viruses in the blood
virulence,strength; measure of how dangerous the disease is
virulent,"strong, dangerous"
virus,virus
voluminous,"large, bulky"
voluntary,"voluntary, done without being forced"
vomit,throw up
vaccine,"shot, flu shot, medicine"
vague,"unclear, not for sure, not certain"
validate,"prove, test"
validity,"truth, proof"
ulcer,open sore
ulterior,"secondary, hidden, alternate, further"
ultimate,"final, last"
unfavorable,"bad, harmful, damaging, unwanted"
unnecessary,"not needed, needless"
upper respiratory system,"nose, throat, and windpipe"
urinate,pee
urticaria,"hives, itch, rash on your skin"
uterus,womb
utilize,"use, make use of"
UVA,"UV light, sunlight"
UVB,"UV light, sunlight"
teratogenic,something that can hurt your baby before he is born
terminal,"deadly, fatal"
terminate,"stop, end"
tetanus,disease affecting muscles
therapeutic,"healing, improving, getting better"
therapy,treatment
therefore,so
thimerosal,drug or vaccine preservative
time period,time
titer,blood test
titrate,to change the dose/level of a medicine
topical,"on the surface, on the skin, on the body"
toxicology,study of harmful materials
transform,"change, alter"
transparent,"clear, see-through"
transpire,"happen, take place"
transverse myelitis,"of the spine, back disease"
traumatic,"shocking, upsetting"
treat,"give care, take care of, cure, heal"
treatment,"action, medicine, therapy"
tremor,"shaking, trembling"
trigger,"cause, starts, something that can bring on symptoms of a disease"
tuberculosis,"TB, a disease of the lungs that can make you cough mucus"
tumor,"growth, lump"
taper,"reduce, slow, lower, shrink, decrease"
telework,work from home
temporal association,"when two things happen at the same time but aren’t actually related to each other"
temporary,"short, brief"
sun protection factor,"sunscreen, sun block"
superficial,"not important, not harmful, slight"
supersede,"replace, take the place of"
supplement,"add to, in addition to, additive, vitamins"
supply,"give, budget, fund, pool, source, kitty"
suppress,"hold back, stop, slow down"
surge capacity,"being able to offer more services in an emergency, ability to expand"
surgery,operation
surgical mask,"face mask, mask"
surveillance,"keep a close eye on, watch closely, monitor"
susceptible,"more open to, in danger of getting, likely to get"
sutures,stitches
symptom,sign (of disease or sickness)
syndrome,"illness, sickness, set of signs that often go together"
synthesize,"combine, form, summarize"
systematic,"planned out, orderly, regular"
spirometer,"breathing test, machine used to measure breath strength, breath strength tool indicator"
spontaneous,"unplanned, sudden"
stable,"ok, no change, constant, even, unchanging"
stamina,"strength, endurance"
state of readiness,"ready, now ready, prepared"
state,"say, tell, condition"
status,"state, condition"
steroid,"medicine, drug to lessen swelling, illegal sports drugs"
stigma,"mark, spot, blemish, embarrassment"
stimulate,"excite, stir up, activate"
strain,specific type of plant or animal or germ
stress,"physical, mental or emotional tension or strain"
stringent,"strict, tight, controlled"
subclinical infection,minor illness
submit,"give, hand in, send"
subsequent,"following, next, later"
subsequently,"after that, later, afterward"
substance,"chemical, material, matter, stuff"
Sudden Infant Death Syndrome,"SIDS; crib death; sudden, unexplained death of a baby"
suffice,be enough
sufficient,"enough, plenty, ample"
suffocate,"choke, smother"
summon,call for
sector,"group, community, neighborhood"
segment,"part, piece"
seizure,fit of uncontrolled movements
sensation,feeling
sensitive,"easily hurt, easy to damage, sore"
seroconversion,"when your body starts to make cells to fight a disease, way your body fights against disease"
serology,study of blood strength
serosurvey,test to see how likely you are to get a disease
severe,"strong, serious, harmful, dangerous, very bad"
severity,how bad
shift,change
shortness of breath,"difficulty catching breath, difficult breathing"
side effect,"reaction, reaction to a medicine"
significant,"big, serious, important"
similar,like
situated,"placed, located"
Sjogren’s syndrome,dry eyes and mouth
skull,bones of head that protect the brain
social distancing,stay at home; keep away from people
socialize,"make friends, talk with people, meet people"
solicit,ask for
soreness,"hurt, pain, ache"
spasm,"sudden, strong muscle tightening, jerk, painful twist"
species,"group of plants or animals, same type, alike"
sanitary,"clean, germ free, healthful"
sanitize,"clean, wash, clean up, make germ-free, disinfect"
Scarlatina,scarlet fever
schedule,"plan, planning a time to do something"
seasonal influenza,common flu; winter flu
respond,answer
restrain,"hold back, stop"
retain,keep
retrieve,"get, bring back, get back"
reveal,"show, tell"
review,"go over, check"
Reye’s Syndrome,brain disease in children
rheumatoid arthritis,"disease of joints, joint swelling"
rheumatologist,"joint, bone, and immune system doctor"
rheumatology,"study of the immune system, joints, and bones"
risk reduction,"reducing the chance of something (usually negative) happening"
risk,chance
Rotavirus,germ causing stomach flu
Rubella,German measles
Rubeola,measles
rupture,"break, burst, break open"
regimen,"diet, plan, program"
register,"sign up, sign in"
regular,"usual, normal, everyday, common"
regulate,"control, restrict, watch over, govern"
regulation,"rule, law"
rehabilitate,"get better, restore"
reimburse,"pay back, refund"
reinforce,"make stronger, brace, support"
reiterate,"repeat, say again"
relief,"feel better, ease, not as bad, ease or lessening from pain or discomfort"
relieve,"ease, make better, soothe, rest"
remission,period of time when a disease is not active
renal,related to the kidney
request,"ask for, beg"
require,"need, ask for"
requirements,"needs, regulations"
rescind,"cancel, take away"
resemble,"look like, take after, match"
reside,"be in, live in"
residence,"home, apartment, house"
Residual Seizure Disorder,"seizures, sudden attack, brain problem"
respiration,breathing
respiratory therapist,breathing therapist
respite,"rest, relief"
radiation,see ionizing radiation and non-ionizing radiation
radioisotope,"medicine, special medicine, radioactive tracer"
radiologist,"a doctor who studies x-rays and other images, x-ray specialist"
radiologist,"x-ray doctor, a doctor who studies x-ray and other images"
radiology,x-ray department
radionuclide,"medicine, special medicine or drug"
rampant,"unchecked, raging, uncontrolled"
rapid diagnostic test,fast result test to see if someone is sick
rationale,"reason, thinking, intent, purpose"
Raynaud’s syndrome,circulatory disease
reaction,a response
reassortment,"change, new type of virus"
receive,"get, admit, welcome"
recipient,person who gets something
recognize,"accept, know, see, find"
recombinant,new gene combination
recover,"get better, feel better, heal"
recrudescence,"when someone who seemed better gets sick again, relapse"
recuperate,"get better, feel better, get well, recover"
recur,"come back, get again, happen again"
reduce,"lower, cut, trim, dilute"
redundant,"extra, not needed, excess, surplus, spare"
regarding,about
qualified,"suited, capable"
quarantine,"isolate, staying away from other people, staying home by yourself"
provoke,"make worse, cause, anger, annoy"
psoriasis,"a dry, scaly, skin rash"
psoriatic arthritis,joint swelling disease with skin rash
psychiatrist,"mental health doctor, shrink"
psychiatry,study of mental health
PSA test,a test to check the health of the prostate
PTSD,"an anxiety problem after seeing or having a traumatic event"
public health,"everyone’s health, our health, health of the community as a whole"
puff,"a short, gentle burst; a small breath"
pulmonary,related to the lungs
pulmonary cancer,"cancer of lung, trachea, bronchus"
pulmonary care unit,lung disease treatment area of hospital
pulmonary fibrosis,"lung disease, scarring of lung tissue, shortness of breath"
pulmonologist,lung doctor
pulmonology,study of lung disease
purchase,buy
prescription,"doctors orders, medicine, drug order"
present,"give, send, now, show"
prevalence,number of sick people
prevalence,"spread, disease spread, number, figure"
prevent,"stop, keep from happening, forbid, keep, hinder"
prevention,"stop, bar, avoid"
primary teeth,baby teeth
principal,"main, first, head, chief, most important"
probability,"chance, likelihood"
procedure,"steps, method, course of action, how-to, way"
proceed,"go, move forward"
prodromal,signs of disease or attack
proficient,"skilled, experienced, able"
progression,"move forward, go on, get worse, advance"
prohibit,"ban, forbid, prevent"
proliferate,"grow, spread, reproduce"
prophylactic,"drugs given to prevent sickness or pregnancy, birth control, condom"
prophylaxis,"prevention drugs, remedy, curative"
prostate,gland in male body that makes sperm
prostatitis,infection of the prostate
protocol,"method, standard, step-by-step process"
protocol,"rules, code"
provide,"give, offer, send, supply"
pica,"craving, dirt or clay eating, unusual appetite"
pigmentation,color
placebo,sugar pill
platelet,blood clotting cell
pleurisy,lung inflammation
pneumonia,lung infection
podiatry,"the medical department that treats problems with
feet, medical specialty – feet, foot doctor"
poliomyelitis,polio; a disease that can make you unable to move
pollute,"dirty, poison, taint, spoil"
polysaccharide vaccines,sugar vaccines
polyurethane,plastic
portion,"piece, amount, part, serving"
position,"job, rank, class, grade"
possess,"have, own"
post-exposure prophylaxis,"drug given to someone who has been near someone sick, prevention drug, drugs to prevent the spread of disease"
postpone,"put off, wait, delay"
potency,"strength, force, power, level, dose"
precaution,"safeguard, caution, guard, care"
predicament,"problem, bad situation, plight, difficulty"
preliminary,"early, not final, initial"
pre-pandemic vaccine,pandemic flu or deadly flu vaccine; shot
preparedness,"readiness, alertness, to be ready, to prepare, be prepared"
prerogative,right
personnel,"people, staff"
perspire,sweat
persuade,"convince, talk into, win over, urge"
pertinent,"fitting, important"
petechiae,"tiny red or purple spot on your skin, skin rash"
pharmacist,"druggist, drug dispenser"
